CAMIS,DBA,BORO,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,INSPECTION TYPE
50043524,,BRONX,10461,Other,1900-01-01,,,Not Applicable,,,,
50047529,GLEASON'S TAVERN,MANHATTAN,10036,Other,1900-01-01,,,Not Applicable,,,,
50048165,KING JAMAICAN & AMERICAN RESTAURANT INC,MANHATTAN,10030,Other,1900-01-01,,,Not Applicable,,,,
50047819,,MANHATTAN,10003,Other,1900-01-01,,,Not Applicable,,,,
50045807,CHARLEYS PHILLY STEAK,BRONX,10475,Other,1900-01-01,,,Not Applicable,,,,
50048574,,QUEENS,11363,Other,1900-01-01,,,Not Applicable,,,,
50048645,GREGORYS COFFEE,MANHATTAN,10065,Other,1900-01-01,,,Not Applicable,,,,
50046633,PANDA WOK INC,QUEENS,11375,Other,1900-01-01,,,Not Applicable,,,,
50043965,KEENANS,BRONX,10463,Other,1900-01-01,,,Not Applicable,,,,
50049374,,QUEENS,11101,Other,1900-01-01,,,Not Applicable,,,,
50044568,,QUEENS,11101,Other,1900-01-01,,,Not Applicable,,,,
50048762,PINBERRY STORE # 15057,MANHATTAN,10022,Other,1900-01-01,,,Not Applicable,,,,
50048823,,MANHATTAN,10012,Other,1900-01-01,,,Not Applicable,,,,
50047847,,STATEN ISLAND,10302,Other,1900-01-01,,,Not Applicable,,,,
50042988,LA RUBIA RESTAURANT,QUEENS,11368,Other,1900-01-01,,,Not Applicable,,,,
50045949,MR. TONG'S,QUEENS,11374,Other,1900-01-01,,,Not Applicable,,,,
50046514,HILLSIDE DELI & CATERING,QUEENS,11426,Other,1900-01-01,,,Not Applicable,,,,
50046861,MUSCLE MAKER GRILL,MANHATTAN,10010,Other,1900-01-01,,,Not Applicable,,,,
50047031,,BROOKLYN,11232,Other,1900-01-01,,,Not Applicable,,,,
50048062,GEORGIA'S CAFE,MANHATTAN,10019,Other,1900-01-01,,,Not Applicable,,,,
50049181,CAFFEBENE,MANHATTAN,10014,Other,1900-01-01,,,Not Applicable,,,,
50044324,MIRCH,QUEENS,11432,Other,1900-01-01,,,Not Applicable,,,,
50047801,SUNFLOWER CAFE,MANHATTAN,10025,Other,1900-01-01,,,Not Applicable,,,,
50042487,BURGER KING,BROOKLYN,11212,Hamburgers,1900-01-01,,,Not Applicable,,,,
50047911,,QUEENS,11361,Other,1900-01-01,,,Not Applicable,,,,
50046498,,BRONX,10463,Other,1900-01-01,,,Not Applicable,,,,
50049363,UNWIND JUICE BAR,BROOKLYN,11212,Other,1900-01-01,,,Not Applicable,,,,
50047511,,MANHATTAN,10014,Other,1900-01-01,,,Not Applicable,,,,
50044478,,BRONX,10472,Other,1900-01-01,,,Not Applicable,,,,
50047514,JUICE PRESS,MANHATTAN,10024,Other,1900-01-01,,,Not Applicable,,,,
50046226,,BROOKLYN,11233,Other,1900-01-01,,,Not Applicable,,,,
50045290,MSHOBLIURI,BROOKLYN,11223,Other,1900-01-01,,,Not Applicable,,,,
50047587,JUICE PRESS,MANHATTAN,10028,Other,1900-01-01,,,Not Applicable,,,,
50046572,CHENG JI,QUEENS,11354,Other,1900-01-01,,,Not Applicable,,,,
50048405,CRUMBS BAKE SHOP,MANHATTAN,10016,Other,1900-01-01,,,Not Applicable,,,,
